origem;destino;veiculo;custo;fluxo;caminho
1;13;11;0.74025;42.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999}
1;14;11;0.6657;42.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638}
1;15;11;0.6699;42.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168}
1;16;11;1.2117;51.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84}
1;17;11;0.7959;51.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84, (14, 16): 0.5459999999999999, (14, 17): 0.1575}
2;0;11;inf;inf;{}
2;1;11;inf;inf;{}
2;2;11;0;0;{}
2;3;11;0.021;8.5;{(2, 9): 0.252, (2, 3): 0.021}
2;4;11;0.294;17.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996}
2;5;11;0.23099999999999998;17.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21}
2;6;11;0.65625;34.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002}
2;7;11;0.3318;25.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378}
2;8;11;0.483;25.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003}
2;9;11;0.252;8.5;{(2, 9): 0.252}
2;10;11;0.2814;25.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504}
2;11;11;0.7349999999999999;25.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504}
2;12;11;0.294;17.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996}
2;13;11;0.5197499999999999;34.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999}
2;14;11;0.4452;34.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638}
2;15;11;0.4494;34.0;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168}
2;16;11;0.9911999999999999;42.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84}
2;17;11;0.5754;42.5;{(2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84, (14, 16): 0.5459999999999999, (14, 17): 0.1575}
3;0;11;inf;inf;{}
3;1;11;inf;inf;{}
3;2;11;inf;inf;{}
3;3;11;0;0;{}
3;4;11;0.27299999999999996;8.5;{(3, 4): 0.27299999999999996}
3;5;11;0.21;8.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21}
3;6;11;0.63525;25.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002}
3;7;11;0.31079999999999997;17.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378}
3;8;11;0.46199999999999997;17.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003}
3;9;11;0.315;17.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105}
